name,generic_name,content,description,unit_in_pack,manufacture_id,form_id,image,category_id,weight,height,length,width
Naproxen,Naproxen,220 mg,Antiinflamasi,24 tablets,9,3,public/seeding_user_photo/medicine/112.jpg,3,90,15,10,7
Dexamethasone,Dexamethasone,0.5 mg,Steroid,10 tablets,1,4,public/seeding_user_photo/medicine/113.jpg,4,10,20,15,6
Quetiapine,Quetiapine,100 mg,Antipsikotik,60 tablets,2,5,public/seeding_user_photo/medicine/114.jpg,1,20,25,20,6
Amiodarone,Amiodarone,200 mg,Antiaritmia,30 tablets,3,6,public/seeding_user_photo/medicine/115.jpg,2,30,30,25,7
Paracetamol,Acetaminophen,500 mg,Obat penurun demam,20 tablets,4,1,public/seeding_user_photo/medicine/116.jpg,3,40,5,30,8
Omeprazole,Omeprazole,20 mg,Penghambat produksi asam,30 capsules,5,2,public/seeding_user_photo/medicine/117.jpg,4,50,10,25,9
Cetirizine,Cetirizine,10 mg,Antihistamin,10 tablets,6,3,public/seeding_user_photo/medicine/118.jpg,1,60,15,20,8
Simvastatin,Simvastatin,20 mg,Menurunkan kolesterol,28 tablets,7,4,public/seeding_user_photo/medicine/119.jpg,2,70,20,15,7
Ibuprofen,Ibuprofen,400 mg,Antiinflamasi,24 tablets,8,5,public/seeding_user_photo/medicine/120.jpg,3,80,25,10,6
Amoxicillin,Amoxicillin,500 mg,Antibiotik,15 capsules,9,6,public/seeding_user_photo/medicine/121.jpg,4,90,30,5,6
Losartan,Losartan,50 mg,Obat tekanan darah,30 tablets,1,1,public/seeding_user_photo/medicine/122.jpg,1,10,5,10,7
Metformin,Metformin,850 mg,Kontrol gula darah,60 tablets,2,2,public/seeding_user_photo/medicine/123.jpg,2,20,10,15,8
Aspirin,Acetylsalicylic acid,81 mg,Pengencer darah,100 tablets,3,3,public/seeding_user_photo/medicine/124.jpg,3,30,15,20,9
Ranitidine,Ranitidine,150 mg,Antiasam lambung,20 tablets,4,4,public/seeding_user_photo/medicine/125.jpg,4,40,20,25,8
